"Order Date","Customer Name","State","Category","Sub-Category","Product Name","Sales","Quantity","Profit"
"11/8/2016","Claire Gute","Kentucky","Furniture","Bookcases","Bush Somerset Collection Bookcase",261.96,2,41.9136
"11/8/2016","Claire Gute","Kentucky","Furniture","Chairs","Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,219.582
"6/12/2016","Darrin Van Huff","California","Office Supplies","Labels","Self-Adhesive Address Labels for Typewriters by Universal",14.62,2,6.8714
"10/11/2015","Sean O'Donnell","Florida","Furniture","Tables","Bretford CR4500 Series Slim Rectangular Table",957.5775,5,-383.031
"10/11/2015","Sean O'Donnell","Florida","Office Supplies","Storage","Eldon Fold 'N Roll Cart System",22.368,2,2.5164
"6/9/2014","Brosina Hoffman","California","Furniture","Furnishings","Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,14.1694
"6/9/2014","Brosina Hoffman","California","Office Supplies","Art","Newell 322",7.28,4,1.9656
"6/9/2014","Brosina Hoffman","California","Technology","Phones","Mitel 5320 IP Phone VoIP phone",907.152,6,90.7152
"6/9/2014","Brosina Hoffman","California","Office Supplies","Binders","DXL Angle-View Binders with Locking Rings by Samsill",18.504,3,5.7825
"6/9/2014","Brosina Hoffman","California","Office Supplies","Appliances","Belkin F5C206VTEL 6 Outlet Surge",114.9,5,34.47
"6/9/2014","Brosina Hoffman","California","Furniture","Tables","Chromcraft Rectangular Conference Tables",1706.184,9,85.3092
"6/9/2014","Brosina Hoffman","California","Technology","Phones","Konftel 250 Conference phone - Charcoal black",911.424,4,68.3568
"4/15/2017","Andrew Allen","North Carolina","Office Supplies","Paper","Xerox 1967",15.552,3,5.4432
"12/5/2016","Irene Maddox","Washington","Office Supplies","Binders","Fellowes PB200 Plastic Comb Binding Machine",407.976,3,132.5922
"11/22/2015","Harold Pawlan","Texas","Office Supplies","Appliances","Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,-123.858
"11/22/2015","Harold Pawlan","Texas","Office Supplies","Binders","Storex DuraTech Recycled Plastic Frosted Binders",2.544,3,-3.816
"11/11/2014","Pete Kriz","Wisconsin","Office Supplies","Storage","Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,13.3176
"5/13/2014","Alejandro Grove","Utah","Office Supplies","Storage","Fellowes Super Stor/Drawer",55.5,2,9.99
"8/27/2014","Zuschuss Donatelli","California","Office Supplies","Art","Newell 341",8.56,2,2.4824
"8/27/2014","Zuschuss Donatelli","California","Technology","Phones","Cisco SPA 501G IP Phone",213.48,3,16.011
"8/27/2014","Zuschuss Donatelli","California","Office Supplies","Binders","Wilson Jones Hanging View Binder, White, 1""",22.72,4,7.384
"12/9/2016","Ken Black","Nebraska","Office Supplies","Art","Newell 318",19.46,7,5.0596
"12/9/2016","Ken Black","Nebraska","Office Supplies","Appliances","Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,15.6884
"7/16/2017","Sandra Flanagan","Pennsylvania","Furniture","Chairs","Global Deluxe Stacking Chair, Gray",71.372,2,-1.0196
"9/25/2015","Emily Burns","Utah","Furniture","Tables","Bretford CR4500 Series Slim Rectangular Table",1044.63,3,240.2649
"1/16/2016","Eric Hoffmann","California","Office Supplies","Binders","Wilson Jones Active Use Binders",11.648,2,4.2224
"1/16/2016","Eric Hoffmann","California","Technology","Accessories","Imation 8GB Mini TravelDrive USB 2.0 Flash Drive",90.57,3,11.7741
"9/17/2015","Tracy Blumstein","Pennsylvania","Furniture","Bookcases","Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,-1665.0522
"9/17/2015","Tracy Blumstein","Pennsylvania","Office Supplies","Binders","Avery Recycled Flexi-View Covers for Binding Systems",9.618,2,-7.0532
"9/17/2015","Tracy Blumstein","Pennsylvania","Furniture","Furnishings","Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,15.525
"9/17/2015","Tracy Blumstein","Pennsylvania","Office Supplies","Envelopes","Poly String Tie Envelopes",3.264,2,1.1016
"9/17/2015","Tracy Blumstein","Pennsylvania","Office Supplies","Art","BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,9.7092
"9/17/2015","Tracy Blumstein","Pennsylvania","Office Supplies","Binders","Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,-5.715
"9/17/2015","Tracy Blumstein","Pennsylvania","Office Supplies","Art","Lumber Crayons",15.76,2,3.546
"10/19/2017","Matt Abelman","Texas","Office Supplies","Paper","Easy-staple paper",29.472,3,9.9468
"12/8/2016","Gene Hale","Texas","Technology","Phones","GE 30524EE4",1097.544,7,123.4737
"12/8/2016","Gene Hale","Texas","Furniture","Furnishings","Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,-147.963
"12/27/2015","Steve Nguyen","Texas","Office Supplies","Envelopes","#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,35.415
"12/27/2015","Steve Nguyen","Texas","Furniture","Bookcases","Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,-46.9764
"12/27/2015","Steve Nguyen","Texas","Furniture","Chairs","Global Fabric Manager's Chair, Dark Gray",212.058,3,-15.147
"12/27/2015","Steve Nguyen","Texas","Technology","Phones","Plantronics HL10 Handset Lifter",371.168,4,41.7564
"9/10/2017","Linda Cazamias","Illinois","Technology","Phones","Panasonic Kx-TS550",147.168,4,16.5564
"7/17/2016","Ruben Ausman","California","Office Supplies","Storage","Eldon Base for stackable storage shelf, platinum",77.88,2,3.894
"9/19/2017","Erin Smith","Florida","Office Supplies","Storage","Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,9.5616
"3/11/2016","Odella Nelson","Minnesota","Technology","Accessories","Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,19.7714
